log2_N,Init_T,FFT_T,RMS_T,Total_T
8,228,34,0,262
8,154,30,1,185
8,133,29,1,163
8,130,31,0,161
8,132,29,1,162
8,131,29,1,161
8,131,29,1,161
8,132,28,0,160
8,131,30,1,162
8,181,31,0,212
9,204,45,0,249
9,199,41,0,240
9,185,41,1,227
9,184,41,1,226
9,190,44,0,234
9,196,43,1,240
9,193,44,1,238
9,195,44,1,240
9,197,43,1,241
9,198,44,1,243
10,332,66,1,399
10,324,63,1,388
10,326,64,0,390
10,325,63,0,388
10,323,63,0,386
10,323,61,0,384
10,323,62,1,386
10,323,61,1,385
10,324,62,0,386
10,324,61,0,385
11,638,118,1,757
11,582,118,0,700
11,584,113,0,697
11,574,109,0,683
11,563,117,1,681
11,583,114,0,697
11,595,118,0,713
11,580,117,1,698
11,582,115,1,698
11,580,115,0,695
12,1115,294,0,1409
12,1133,290,0,1423
12,1091,285,0,1376
12,1096,288,0,1384
12,1126,286,0,1412
12,1178,288,0,1466
12,1065,287,1,1353
12,1096,288,1,1385
12,1096,288,1,1385
12,1095,287,1,1383
13,2225,780,0,3005
13,2158,782,0,2940
13,2137,756,1,2894
13,2210,777,0,2987
13,2121,775,0,2896
13,2153,781,1,2935
13,2122,779,0,2901
13,2122,777,0,2899
13,2079,777,0,2856
13,2124,776,0,2900
14,4280,1528,1,5809
14,4214,1537,0,5751
14,4203,1542,1,5746
14,4238,1538,0,5776
14,4153,1564,0,5717
14,4198,1536,1,5735
14,4287,1567,1,5855
14,4123,1536,1,5660
14,4238,1536,0,5774
14,4229,1541,1,5771
15,8561,3353,0,11914
15,8353,3344,1,11698
15,8282,3358,0,11640
15,8368,3286,1,11655
15,8409,3323,0,11732
15,8521,3356,0,11877
15,8314,3337,0,11651
15,8400,3330,0,11730
15,8330,3330,1,11661
15,8257,3343,1,11601
16,16866,6565,0,23431
16,16610,6618,1,23229
16,16617,6627,1,23245
16,16603,6551,0,23154
16,16581,6621,0,23202
16,16603,6577,0,23180
16,16609,6643,0,23252
16,17288,9751,1,27040
16,16788,6617,1,23406
16,16591,6636,1,23228
17,36379,16881,1,53261
17,33516,16461,1,49978
17,33115,16456,1,49572
17,33288,16500,1,49789
17,33201,16456,0,49657
17,33114,16445,1,49560
17,33160,16391,1,49552
17,33108,16431,1,49540
17,33116,16496,0,49612
17,33110,16457,0,49567
18,67096,44307,1,111404
18,66196,44328,1,110525
18,66172,44204,1,110377
18,66136,44264,1,110401
18,66470,44242,0,110712
18,66103,44317,0,110420
18,66237,44253,0,110490
18,66103,44239,0,110342
18,66396,44274,1,110671
18,66120,44331,0,110451
19,135029,97460,1,232490
19,132596,97436,0,230032
19,132304,97565,1,229870
19,134626,98049,1,232676
19,132204,97498,15,229717
19,132280,97422,0,229702
19,132457,97432,0,229889
19,132395,97453,0,229848
19,132350,97456,0,229806
19,140701,97452,0,238153
20,268220,195516,1,463737
20,266158,195384,0,461542
20,264606,195332,0,459938
20,270480,195331,1,465812
20,264567,195327,0,459894
20,264318,195411,1,459730
20,264694,195499,0,460193
20,265138,195546,0,460684
20,264520,195357,0,459877
20,264945,195262,1,460208
21,536676,391468,1,928145
21,530045,391264,1,921310
21,531887,391344,1,923232
21,528453,391306,0,919759
21,530127,391302,1,921430
21,528710,392298,2,921010
21,530196,391318,1,921515
21,528716,391175,1,919892
21,529113,391393,1,920507
21,532441,391506,1,923948
22,1074164,813260,0,1887424
22,1060400,813892,2,1874294
22,1060749,813285,1,1874035
22,1057930,813299,2,1871231
22,1058016,813368,1,1871385
22,1057421,814891,2,1872314
22,1060220,813253,0,1873473
22,1061510,813329,1,1874840
22,1057706,813294,0,1871000
22,1058553,813378,1,1871932
