log2_N,init_T,1_FFT_T,Transpose_T,2_FFT_T,RMS_T,totalFFT_T,total_T
8,18440,4026,2089,4089,0,10204,28644
8,17913,4102,2095,4022,0,10219,28132
8,17884,4098,2094,4094,1,10286,28171
8,17885,4023,2096,4092,0,10211,28096
8,17884,4097,2093,4020,0,10210,28094
8,17973,4101,2092,4103,1,10296,28270
8,17872,4019,2103,4098,1,10220,28093
8,17876,4100,2065,4073,1,10238,28115
8,17976,4104,2092,4441,0,10637,28613
8,17865,4097,2094,4094,0,10285,28150
9,72088,13452,8328,13447,1,35227,107316
9,71030,13453,8315,13437,0,35205,106235
9,71008,13446,8326,13434,1,35206,106215
9,71126,13438,8344,13439,0,35221,106347
9,70891,13466,8339,13447,0,35252,106143
9,71210,13447,8346,13424,1,35217,106428
9,70957,13434,8298,13457,1,35189,106147
9,70911,13464,8329,13434,1,35227,106139
9,71122,13442,8327,13440,1,35209,106332
9,71038,13433,8302,13431,0,35166,106204
10,287371,45896,32757,45867,0,124520,411891
10,283176,45828,32758,45861,0,124447,407623
10,283124,45868,32788,45871,0,124527,407651
10,283368,45888,32758,46060,0,124706,408074
10,283157,45887,32743,45861,1,124491,407649
10,283185,45884,32759,45857,0,124500,407685
10,283135,45870,32740,45908,1,124518,407654
10,283172,45907,32753,45852,1,124512,407685
10,283157,45875,32748,45857,1,124480,407638
10,283175,45884,32727,45849,0,124460,407635
11,1147532,217335,131594,217497,0,566426,1713958
11,1131824,217393,131648,217138,0,566179,1698003
11,1131529,217252,131626,217429,0,566307,1697836
11,1131700,217550,131578,217652,1,566780,1698481
11,1131420,217413,131571,217309,1,566293,1697714
11,1131807,217458,131610,217632,1,566700,1698508
11,1131649,217525,131596,217428,0,566549,1698198
11,1131628,217436,131619,217331,0,566386,1698014
11,1131479,217213,131622,217273,1,566108,1697588
11,1132816,218834,131695,217057,1,567586,1700403
